version:v1.0
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname]
Hands Pepe,pepe.hands@rixo.cz,Gydus195,No,Pepe,Hands
Černý Josef,josef.cerny@rixo.cz,cevuzU929,No,Josef,Černý
Říha Gustav,gustav.riha@rixo.cz,Kesany939,No,Gustav,Říha
Roubíček Tomáš,tomas.roubicek@rixo.cz,mAlab702,No,Tomáš,Roubíček
Koťě Jiří,jiri.kote@rixo.cz,cubuPy949,No,Jiří,Koťě
Rotný Matyáš,matyas.rotny@rixo.cz,fiSepi033,No,Matyáš,Rotný
Dědková Barbora,barbora.dedkova@rixo.cz,vakAlu4126,No,Barbora,Dědková
Milá Anna,anna.mila@rixo.cz,cicoBu772,No,Anna,Milá
Hravý Petr,petr.hravy@rixo.cz,cahUv111,No,Petr,Hravý
Usměvavá Irena,irena.usmevava@rixo.cz,ladiG968,No,Irena,Usměvavá
Pečlivá Kateřina,katerina.pecliva@rixo.cz,mynIw497,No,Kateřina,Pečlivá
Strouhal Michal,michal.strouhal@rixo.cz,quzyS599,No,Michal,Strouhal
Kreslíř Jan,jan.kreslir@rixo.cz,vOjeje342,No,Jan,Kreslíř
Fitko Lukáš,lukas.fitko@rixo.cz,fodAro0286,No,Lukáš,Fitko
Rodný Jakub,jakub.rodny@rixo.cz,pUqalo049,No,Jakub,Rodný
Šedý Ludvík,ludvik.sedy@rixo.cz,zecAsi6510,No,Ludvík,Šedý
Trémová Nikola,nikola.tremova@rixo.cz,valunU992,No,Nikola,Trémová
Maskot Michal,michal.maskot@rixo.cz,legasE415,No,Michal,Maskot
Hujerová Anna,anna.hujerova@rixo.cz,Muhelu359,No,Anna,Hujerová
Králíková Michaela,michaela.kralikova@rixo.cz,cugEn157,No,Michaela,Králíková
Ofinová Karolína,karolina.ofinova@rixo.cz,coqIpo518,No,Karolína,Ofinová
