version:v1.0
First name [givenName],Last name [surname],Ustredna login name [ustrednaLogin], Ustredna password [ustrednaPass]
Pepe,Hands,pepe.hands@rixo.cz,sOfax943
Josef,Černý,josef.cerny@rixo.cz,zUcij480
Gustav,Říha,gustav.riha@rixo.cz,zoxOwo2695
Tomáš,Roubíček,tomas.roubicek@rixo.cz,Sufem616
Jiří,Koťě,jiri.kote@rixo.cz,Qakyga332
Matyáš,Rotný,matyas.rotny@rixo.cz,qEweja944
Barbora,Dědková,barbora.dedkova@rixo.cz,myvEfo838
Anna,Milá,anna.mila@rixo.cz,lyvEj241
Petr,Hravý,petr.hravy@rixo.cz,zyxExi324
Irena,Usměvavá,irena.usmevava@rixo.cz,poninY654
Kateřina,Pečlivá,katerina.pecliva@rixo.cz,Zydahu956
Michal,Strouhal,michal.strouhal@rixo.cz,kysAp139
Jan,Kreslíř,jan.kreslir@rixo.cz,bykIvu369
Lukáš,Fitko,lukas.fitko@rixo.cz,xUdif223
Jakub,Rodný,jakub.rodny@rixo.cz,kojuWi7817
Ludvík,Šedý,ludvik.sedy@rixo.cz,dehuPy9302
Nikola,Trémová,nikola.tremova@rixo.cz,sAvoqu859
Michal,Maskot,michal.maskot@rixo.cz,dobEku450
Anna,Hujerová,anna.hujerova@rixo.cz,juHofe7955
Michaela,Králíková,michaela.kralikova@rixo.cz,leSys656
Karolína,Ofinová,karolina.ofinova@rixo.cz,ryWezi8401
