version:v1.0
Member email [userEmail] Required, Zeteo ID [zeteoID] Required
pepe.hands@rixo.cz,-1
josef.cerny@rixo.cz,-1
gustav.riha@rixo.cz,-1
tomas.roubicek@rixo.cz,-1
jiri.kote@rixo.cz,-1
matyas.rotny@rixo.cz,-1
barbora.dedkova@rixo.cz,-1
anna.mila@rixo.cz,-1
petr.hravy@rixo.cz,-1
irena.usmevava@rixo.cz,-1
katerina.pecliva@rixo.cz,-1
michal.strouhal@rixo.cz,-1
jan.kreslir@rixo.cz,-1
lukas.fitko@rixo.cz,-1
jakub.rodny@rixo.cz,-1
ludvik.sedy@rixo.cz,-1
nikola.tremova@rixo.cz,-1
michal.maskot@rixo.cz,-1
anna.hujerova@rixo.cz,-1
michaela.kralikova@rixo.cz,-1
karolina.ofinova@rixo.cz,-1
