version:v1.0
First name [givenName],Last name [surname],Zeteo universal email [zeteoEmailUniversal], Rixo telephone number [phoneNumber], Zeteo personal number [zeteoID], Zeteo role [zeteoRole], Zeteo user name [zeteoName] Required, Zeteo user password [zeteoPass] Required
Pepe,Hands,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,pepe.hands,lehaV518
Josef,Černý,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,josef.cerny,kUlod991
Gustav,Říha,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,gustav.riha,Hocer743
Tomáš,Roubíček,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,tomas.roubicek,fyPac081
Jiří,Koťě,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,jiri.kote,qyNom509
Matyáš,Rotný,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,matyas.rotny,foreXo800
Barbora,Dědková,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,barbora.dedkova,ruPifu116
Anna,Milá,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,anna.mila,vokOwi0715
Petr,Hravý,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,petr.hravy,pOgij571
Irena,Usměvavá,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,irena.usmevava,Cuziqi498
Kateřina,Pečlivá,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,katerina.pecliva,xahunA502
Michal,Strouhal,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,michal.strouhal,jykezO1451
Jan,Kreslíř,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,jan.kreslir,zuNuci813
Lukáš,Fitko,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,lukas.fitko,paPov072
Jakub,Rodný,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,jakub.rodny,neMumu9693
Ludvík,Šedý,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,ludvik.sedy,liwIwe453
Nikola,Trémová,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,nikola.tremova,picyWy605
Michal,Maskot,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,michal.maskot,ruzoFy465
Anna,Hujerová,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,anna.hujerova,rIhyb914
Michaela,Králíková,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,michaela.kralikova,Hujywu650
Karolína,Ofinová,pojisteni@rixo.cz,+420233089233,-1,Expert na pojištění,karolina.ofinova,Vefany349
