version:v1.0
First name [givenName],Last name [surname],Member email [userEmail] Required, Email password [emailPass]
Hands,Pepe,hands.pepe@rixo.cz,zuCebe6272
Černý,Josef,cerny.josef@rixo.cz,givaW125
Říha,Gustav,riha.gustav@rixo.cz,navinO4593
Roubíček,Tomáš,roubicek.tomas@rixo.cz,cUsys117
Koťě,Jiří,kote.jiri@rixo.cz,baRude053
Rotný,Matyáš,rotny.matyas@rixo.cz,wiwuJi0343
Dědková,Barbora,dedkova.barbora@rixo.cz,suNic792
Milá,Anna,mila.anna@rixo.cz,Viqili7448
Hravý,Petr,hravy.petr@rixo.cz,dAloc377
Usměvavá,Irena,usmevava.irena@rixo.cz,mucIbo840
Pečlivá,Kateřina,pecliva.katerina@rixo.cz,niGym222
Strouhal,Michal,strouhal.michal@rixo.cz,voBow887
Kreslíř,Jan,kreslir.jan@rixo.cz,xUfobe710
Fitko,Lukáš,fitko.lukas@rixo.cz,Cojabi964
Rodný,Jakub,rodny.jakub@rixo.cz,bydyJ582
Šedý,Ludvík,sedy.ludvik@rixo.cz,Siwir396
Trémová,Nikola,tremova.nikola@rixo.cz,Penox830
Maskot,Michal,maskot.michal@rixo.cz,sedyQu8415
Hujerová,Anna,hujerova.anna@rixo.cz,Vypor023
Králíková,Michaela,kralikova.michaela@rixo.cz,baloG498
Ofinová,Karolína,ofinova.karolina@rixo.cz,byDufu8917
