version:v1.0
First name [givenName],Last name [surname],Ustredna login name [ustrednaLogin], Ustredna password [ustrednaPass]
Hands,Pepe,hands.pepe@rixo.cz,vakEma2213
Černý,Josef,cerny.josef@rixo.cz,rIsup710
Říha,Gustav,riha.gustav@rixo.cz,munOco8374
Roubíček,Tomáš,roubicek.tomas@rixo.cz,huLam485
Koťě,Jiří,kote.jiri@rixo.cz,jyVogi991
Rotný,Matyáš,rotny.matyas@rixo.cz,cuxoR107
Dědková,Barbora,dedkova.barbora@rixo.cz,hyQizy762
Milá,Anna,mila.anna@rixo.cz,wijuD813
Hravý,Petr,hravy.petr@rixo.cz,hegAdy232
Usměvavá,Irena,usmevava.irena@rixo.cz,dAvumy2855
Pečlivá,Kateřina,pecliva.katerina@rixo.cz,zYsere0306
Strouhal,Michal,strouhal.michal@rixo.cz,dadomE1874
Kreslíř,Jan,kreslir.jan@rixo.cz,zYnipe5284
Fitko,Lukáš,fitko.lukas@rixo.cz,gaNuce136
Rodný,Jakub,rodny.jakub@rixo.cz,raxYli5149
Šedý,Ludvík,sedy.ludvik@rixo.cz,foroJy199
Trémová,Nikola,tremova.nikola@rixo.cz,pyfAky0724
Maskot,Michal,maskot.michal@rixo.cz,fimUdo099
Hujerová,Anna,hujerova.anna@rixo.cz,hyRyg513
Králíková,Michaela,kralikova.michaela@rixo.cz,sEfoq658
Ofinová,Karolína,ofinova.karolina@rixo.cz,rIgox560
