version:v1.0
Member email [userEmail] Required, Zeteo ID [zeteoID] Required
hands.pepe@rixo.cz,214
cerny.josef@rixo.cz,215
riha.gustav@rixo.cz,216
roubicek.tomas@rixo.cz,217
kote.jiri@rixo.cz,218
rotny.matyas@rixo.cz,219
dedkova.barbora@rixo.cz,220
mila.anna@rixo.cz,221
hravy.petr@rixo.cz,222
usmevava.irena@rixo.cz,223
pecliva.katerina@rixo.cz,224
strouhal.michal@rixo.cz,225
kreslir.jan@rixo.cz,226
fitko.lukas@rixo.cz,227
rodny.jakub@rixo.cz,228
sedy.ludvik@rixo.cz,229
tremova.nikola@rixo.cz,230
maskot.michal@rixo.cz,231
hujerova.anna@rixo.cz,232
kralikova.michaela@rixo.cz,233
ofinova.karolina@rixo.cz,234
