version:v1.0
First name [givenName],Last name [surname],Zeteo universal email [zeteoEmailUniversal], Rixo telephone number [phoneNumber], Zeteo personal number [zeteoID], Zeteo role [zeteoRole], Zeteo user name [zeteoName] Required, Zeteo user password [zeteoPass] Required
Hands,Pepe,pojisteni@rixo.cz,+420233089233,214,Expert na pojištění,hands.pepe,Damox886
Černý,Josef,pojisteni@rixo.cz,+420233089233,215,Expert na pojištění,cerny.josef,xeZily805
Říha,Gustav,pojisteni@rixo.cz,+420233089233,216,Expert na pojištění,riha.gustav,rowIk867
Roubíček,Tomáš,pojisteni@rixo.cz,+420233089233,217,Expert na pojištění,roubicek.tomas,jeqeSu566
Koťě,Jiří,pojisteni@rixo.cz,+420233089233,218,Expert na pojištění,kote.jiri,wiFev118
Rotný,Matyáš,pojisteni@rixo.cz,+420233089233,219,Expert na pojištění,rotny.matyas,syPos513
Dědková,Barbora,pojisteni@rixo.cz,+420233089233,220,Expert na pojištění,dedkova.barbora,mEfav358
Milá,Anna,pojisteni@rixo.cz,+420233089233,221,Expert na pojištění,mila.anna,Farin921
Hravý,Petr,pojisteni@rixo.cz,+420233089233,222,Expert na pojištění,hravy.petr,Vihel631
Usměvavá,Irena,pojisteni@rixo.cz,+420233089233,223,Expert na pojištění,usmevava.irena,qOkyju857
Pečlivá,Kateřina,pojisteni@rixo.cz,+420233089233,224,Expert na pojištění,pecliva.katerina,hywYz055
Strouhal,Michal,pojisteni@rixo.cz,+420233089233,225,Expert na pojištění,strouhal.michal,xegAd188
Kreslíř,Jan,pojisteni@rixo.cz,+420233089233,226,Expert na pojištění,kreslir.jan,Gosoj123
Fitko,Lukáš,pojisteni@rixo.cz,+420233089233,227,Expert na pojištění,fitko.lukas,qEgoh578
Rodný,Jakub,pojisteni@rixo.cz,+420233089233,228,Expert na pojištění,rodny.jakub,neCiny900
Šedý,Ludvík,pojisteni@rixo.cz,+420233089233,229,Expert na pojištění,sedy.ludvik,lyFad153
Trémová,Nikola,pojisteni@rixo.cz,+420233089233,230,Expert na pojištění,tremova.nikola,feLim790
Maskot,Michal,pojisteni@rixo.cz,+420233089233,231,Expert na pojištění,maskot.michal,joweKe6696
Hujerová,Anna,pojisteni@rixo.cz,+420233089233,232,Expert na pojištění,hujerova.anna,Ciqolu2571
Králíková,Michaela,pojisteni@rixo.cz,+420233089233,233,Expert na pojištění,kralikova.michaela,wafEhu647
Ofinová,Karolína,pojisteni@rixo.cz,+420233089233,234,Expert na pojištění,ofinova.karolina,hyruqY7205
