version:v1.0
First name [givenName],Last name [surname],Member email [userEmail] Required
Hands,Pepe,hands.pepe@rixo.cz
Černý,Josef,cerny.josef@rixo.cz
Říha,Gustav,riha.gustav@rixo.cz
Roubíček,Tomáš,roubicek.tomas@rixo.cz
Koťě,Jiří,kote.jiri@rixo.cz
Rotný,Matyáš,rotny.matyas@rixo.cz
Dědková,Barbora,dedkova.barbora@rixo.cz
Milá,Anna,mila.anna@rixo.cz
Hravý,Petr,hravy.petr@rixo.cz
Usměvavá,Irena,usmevava.irena@rixo.cz
Pečlivá,Kateřina,pecliva.katerina@rixo.cz
Strouhal,Michal,strouhal.michal@rixo.cz
Kreslíř,Jan,kreslir.jan@rixo.cz
Fitko,Lukáš,fitko.lukas@rixo.cz
Rodný,Jakub,rodny.jakub@rixo.cz
Šedý,Ludvík,sedy.ludvik@rixo.cz
Trémová,Nikola,tremova.nikola@rixo.cz
Maskot,Michal,maskot.michal@rixo.cz
Hujerová,Anna,hujerova.anna@rixo.cz
Králíková,Michaela,kralikova.michaela@rixo.cz
Ofinová,Karolína,ofinova.karolina@rixo.cz
