version:v1.0
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname]
Pepe Hands,pepe.hands@rixo.cz,jenyMu567,No,Pepe,Hands
Josef Černý,josef.cerny@rixo.cz,qaFyli315,No,Josef,Černý
Gustav Říha,gustav.riha@rixo.cz,sipAko925,No,Gustav,Říha
Tomáš Roubíček,tomas.roubicek@rixo.cz,siZymy9029,No,Tomáš,Roubíček
Jiří Koťě,jiri.kote@rixo.cz,cydoJe2565,No,Jiří,Koťě
Matyáš Rotný,matyas.rotny@rixo.cz,lapoRu554,No,Matyáš,Rotný
Barbora Dědková,barbora.dedkova@rixo.cz,lunuB051,No,Barbora,Dědková
Anna Milá,anna.mila@rixo.cz,jySuxi0440,No,Anna,Milá
Petr Hravý,petr.hravy@rixo.cz,Jaxopy003,No,Petr,Hravý
Irena Usměvavá,irena.usmevava@rixo.cz,qAkoze3620,No,Irena,Usměvavá
Kateřina Pečlivá,katerina.pecliva@rixo.cz,leMojo1464,No,Kateřina,Pečlivá
Michal Strouhal,michal.strouhal@rixo.cz,rIcovi349,No,Michal,Strouhal
Jan Kreslíř,jan.kreslir@rixo.cz,jalUbu3656,No,Jan,Kreslíř
Lukáš Fitko,lukas.fitko@rixo.cz,vojeL226,No,Lukáš,Fitko
Jakub Rodný,jakub.rodny@rixo.cz,nemanE632,No,Jakub,Rodný
Ludvík Šedý,ludvik.sedy@rixo.cz,heRiz177,No,Ludvík,Šedý
Nikola Trémová,nikola.tremova@rixo.cz,koPene8097,No,Nikola,Trémová
Michal Maskot,michal.maskot@rixo.cz,Gowuk911,No,Michal,Maskot
Anna Hujerová,anna.hujerova@rixo.cz,jaseR909,No,Anna,Hujerová
Michaela Králíková,michaela.kralikova@rixo.cz,Ropama2943,No,Michaela,Králíková
Karolína Ofinová,karolina.ofinova@rixo.cz,rifUv230,No,Karolína,Ofinová
Jan Maria Sarkander,jan.sarkander@rixo.cz,Qeqan437,No,Jan,Sarkander
