FirstName,MiddleName,SecondName,Alis,UserName,Email,Phone,USERPERMISSIONSSUPPORTUSER,InsoftUserC,ProfileID,TimeZoneSidKey,LocaleSidKey,EmailEncodingKey,LanguageLocaleKey
Pepe,,Hands,PHand,pepe.hands@rixo.cz,pepe.hands@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Josef,,Černý,JČern,josef.cerny@rixo.cz,josef.cerny@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Gustav,,Říha,GŘíha,gustav.riha@rixo.cz,gustav.riha@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Tomáš,,Roubíček,TRoub,tomas.roubicek@rixo.cz,tomas.roubicek@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Jiří,,Koťě,JKoťě,jiri.kote@rixo.cz,jiri.kote@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Matyáš,,Rotný,MRotn,matyas.rotny@rixo.cz,matyas.rotny@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Barbora,,Dědková,BDědk,barbora.dedkova@rixo.cz,barbora.dedkova@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Anna,,Milá,AMilá,anna.mila@rixo.cz,anna.mila@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Petr,,Hravý,PHrav,petr.hravy@rixo.cz,petr.hravy@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Irena,,Usměvavá,IUsmě,irena.usmevava@rixo.cz,irena.usmevava@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Kateřina,,Pečlivá,KPečl,katerina.pecliva@rixo.cz,katerina.pecliva@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Michal,,Strouhal,MStro,michal.strouhal@rixo.cz,michal.strouhal@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Jan,,Kreslíř,JKres,jan.kreslir@rixo.cz,jan.kreslir@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Lukáš,,Fitko,LFitk,lukas.fitko@rixo.cz,lukas.fitko@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Jakub,,Rodný,JRodn,jakub.rodny@rixo.cz,jakub.rodny@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Ludvík,,Šedý,LŠedý,ludvik.sedy@rixo.cz,ludvik.sedy@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Nikola,,Trémová,NTrém,nikola.tremova@rixo.cz,nikola.tremova@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Michal,,Maskot,MMask,michal.maskot@rixo.cz,michal.maskot@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Anna,,Hujerová,AHuje,anna.hujerova@rixo.cz,anna.hujerova@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Michaela,,Králíková,MKrál,michaela.kralikova@rixo.cz,michaela.kralikova@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Karolína,,Ofinová,KOfin,karolina.ofinova@rixo.cz,karolina.ofinova@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
Jan, Maria,Sarkander,JSark,jan.sarkander@rixo.cz,jan.sarkander@rixo.cz,+420 233 089 233,true,true,00e2o0000013J6tAAE,Europe/Prague,cs_CZ,UTF-8,cs
