First name [givenName],Last name [surname],Ustredna login name [ustrednaLogin], Ustredna password [ustrednaPass]
Pepe,Hands,pepe.hands@rixo.cz,doWek662
Josef,Černý,josef.cerny@rixo.cz,Meqif522
Gustav,Říha,gustav.riha@rixo.cz,Cyguni263
Tomáš,Roubíček,tomas.roubicek@rixo.cz,Goqege0288
Jiří,Koťě,jiri.kote@rixo.cz,goxiqA1783
Matyáš,Rotný,matyas.rotny@rixo.cz,kibYva7648
Barbora,Dědková,barbora.dedkova@rixo.cz,kuQapa3793
Anna,Milá,anna.mila@rixo.cz,xUbic401
Petr,Hravý,petr.hravy@rixo.cz,Zigewo2612
Irena,Usměvavá,irena.usmevava@rixo.cz,koPyg039
Kateřina,Pečlivá,katerina.pecliva@rixo.cz,Juhyb220
Michal,Strouhal,michal.strouhal@rixo.cz,Nyhyho7413
Jan,Kreslíř,jan.kreslir@rixo.cz,kYhyzo766
Lukáš,Fitko,lukas.fitko@rixo.cz,kyJaxa634
Jakub,Rodný,jakub.rodny@rixo.cz,gafeQ091
Ludvík,Šedý,ludvik.sedy@rixo.cz,jovyHy169
Nikola,Trémová,nikola.tremova@rixo.cz,gepId724
Michal,Maskot,michal.maskot@rixo.cz,Cupozu5990
Anna,Hujerová,anna.hujerova@rixo.cz,kyqIp268
Michaela,Králíková,michaela.kralikova@rixo.cz,wuvYn508
Karolína,Ofinová,karolina.ofinova@rixo.cz,Duwuvo387
Jan,Sarkander,jan.sarkander@rixo.cz,zekEx932
