First name [givenName],Last name [surname],Member email [userEmail] Required
Pepe,Hands,pepe.hands@rixo.cz
Josef,Černý,josef.cerny@rixo.cz
Gustav,Říha,gustav.riha@rixo.cz
Tomáš,Roubíček,tomas.roubicek@rixo.cz
Jiří,Koťě,jiri.kote@rixo.cz
Matyáš,Rotný,matyas.rotny@rixo.cz
Barbora,Dědková,barbora.dedkova@rixo.cz
Anna,Milá,anna.mila@rixo.cz
Petr,Hravý,petr.hravy@rixo.cz
Irena,Usměvavá,irena.usmevava@rixo.cz
Kateřina,Pečlivá,katerina.pecliva@rixo.cz
Michal,Strouhal,michal.strouhal@rixo.cz
Jan,Kreslíř,jan.kreslir@rixo.cz
Lukáš,Fitko,lukas.fitko@rixo.cz
Jakub,Rodný,jakub.rodny@rixo.cz
Ludvík,Šedý,ludvik.sedy@rixo.cz
Nikola,Trémová,nikola.tremova@rixo.cz
Michal,Maskot,michal.maskot@rixo.cz
Anna,Hujerová,anna.hujerova@rixo.cz
Michaela,Králíková,michaela.kralikova@rixo.cz
Karolína,Ofinová,karolina.ofinova@rixo.cz
Jan,Sarkander,jan.sarkander@rixo.cz
